,Tweet,Cluster
2,but who network sim this,2
4,range talegaon maharashtra,4
3,anything this been more then hours with service phone kya raha hai,3
2,market mein sab network company kuch sikhana chahiye itane kaam samay mein market aake best network provide kiya thanks lockdown mein best network provide karane liye,2
6,#vodafonesucks replay pic twitter com qwms lbkbt,6
6,truly vodafone sucks pic twitter com tbjcfvfrl,6
2,hey doing this every day you are looting customers balance don want justification now want port network,2
3,just went the customer service office mzn for sim change the guy behaved rudely wonder your market share declining you can behave nicely with old customers how will you gain new customers,3
2,poor network not finding any improvement last years,2
4,kuch nahi hoga kitna complain krte rho,4
4,had been charged twice for plan billing cycle which hadnt been activated first place asked representative chat support reverse the charge she said wont possible had already paid the bill,4
4,off lately observing that daily data pack getting over when only half used this something that few other are also observing interesting thing that this started happening since double data offer basically used,4
4,could you pls help out here have been following with like crazy for some months now they first put wrong charges vas and then have been harassing for the payment the extra charges levied are around times the usual bil,4
3,had through same turmoil the past but then finally decided port connections jio suggest upgrading better service provider can share more details,3
4,any update,4
6,dear raised concern feb thr response from and thgt port vit response frm them aswell might bcz thy bankrupty its pay airtel thy responsible solve issues kindly the needful https twitter com srinivasnanaji status,6
2,dear again facing network issue area pin from last night rained little bit after that not getting internet tweeting with,2
4,something you can for the people just shut your company and get lost neither your money and time will wasted nor ours,4
3,with them even after years bad service would like know what made stick with them,3
5,there option vodafone care chat raise complaint calls are not getting connected since monday this location have postpaid connection provide quick solution what jok,5
3,#vodadone #ideavodafone team loyal customer don want port number other subscribers request you please improve service into village that can resume work and study well #bampur #allahabad pin,3
4,changed plan but data was laps when ask their customer care representative they told why told loss previous plan told you only which plan you wants name pramod talk few minute ago and also rude behavior unable represent customer,4
6,can listen favourite songs #spotify with the ongoing issue between pic twitter com odiwm,6
4,kindly let know how has already disabled recent deduction history erase their crime proofs,4
4,echo you,4
4,after recharging your unlimited pack day your speed drastically reduced please look into this living lucknow,4
3,these people are fake when ask their customer care pramod they told any customer change his plan they give information about only plan not loss previous plan and also his behavior not like customer care representative fade vodafone service,3
2,yesterday tweeted and also send but response for complaint against the employee name prince bad behavior twards customer said only compny paid conection get network individual workng tht company cant,2
3,hopeless service vodafone charged for amazon prime membership whereas never requested for plan red entertainment why dont you guys provide good service rather than forcing customers pay for things they dont want,3
2,done with you the worst network have ever used have try times get call connected otp does not come time and dont bother using the internet use having such connection hello see you soon,2
4,try again,4
5,vodafone speed check the time both photos minute still not downloading the video quit vodafone pic twitter com mpixuf djh,5
4,will you please look into looting spree and take some serious action the internet full complaints whining about the rampant stealing customer balance yet haven seen any resolutio,4
6,calls are not getting connected since monday this location have postpaid connection need quick solution pic twitter com jby ems raja dhaba,6
3,yes this true they are not concerned about the service inspite complains since years,3
3,bro postpaid customer service nothing less than they argue with their bill sys which not hav any logs our phone for such calls they loot customers bills #boycottvodafonein join #jio #airtel fed with,3
4,its been years are living this paush area ahmedabad near tapovan circle and still not have tower our home don know what have complained twice thrice you this years,4
7,could any one you will provide good signal strength better network connectivity area are facing weak signal problem slow data connection from beginning,7
2,idea vodafone worst customer services they will never respond your calls query complaint mails will never resolve any data network issues but they will very prompt following for payment and closing your connection,2
4,have given return within days planning more invest keep growing all the best,4
4,mere rupye abhi refund nhi huye rup refund kro,4
4,need billion dollars provide all india proper services are being served rat meat the name lamb meat,4
7,get problem solve should request pandit take out muhurat for,7
6,just see pic twitter com txsje xwvt,6
6,#vodafone reply tried but your number was uncontacable #vadodara #quitvodafone pic twitter com,6
4,had you the details asked pls check,4
4,thanks for responding days after the issue anyways there was technical glitch from your side was not able send msg perhaps later another day the glitch was corrected,4
3,don understand service teams they are many teams without any connection within them the worst them the appellate team you call them they will say that the mailing team different that how they fool customers shame you,3
2,worst network and service along with sim ported other numbers which were vodafone since yrs,2
6,you know totally dependent distribution current government bodies area there current here you can use internet services even you are unable see icon other hand their service too bad govt provide them current too pic twitter com auenlahkmw,6
4,world biggest worst telecom company after paying postpaid bill not even allowed send normal message kindly please cancel the license this fake company,4
4,the hell are doing for problems you even not feel responsible contact reply messages ready give you land for the installation new tower now its your responsibility come forward,4
4,hello inet isn working properly since last hrs pdn,4
4,why you doing fraud with your customer daily today again deduct from voda sim then see some friends other people facing same issue its not good see screen shot how are doing fruad with customer better,4
6,update the http matter hell bent accusing which they always anyway recently again got some unexplained balance deduction this time has gone too far lowely disabled recent deduction history what going pic twitter com viuhkwnzyq,6
6,pic twitter com ttlkalk,6
2,have all sim home and airtel performed worst vodafone does poor sms otherwise network coverage wise its fine jio does best wifi calling works great and sms issue network coverage okish not great,2
2,the network remains off when there electricity what would you like say about this,2
6,pic twitter com bxuzrap,6
6,pic twitter com tasdqjhhot,6
4,this coordinate can anyone give good internet speed #workfromhome #digitalindia,4
2,vodafone network disappear every day entire area now the disappearance vodafone networks has become common thing when got upset and talked network tower staff they said that you are not providing diesel run the network aft,2
4,why are you not responding why are you not able resolve issue priority can expect any revert from your side please treat this most important concern this critical,4
6,today got text message that issue reference number got resolve but didn find any difference internet speed pic twitter com miyzc,6
2,vodafone has gone for toss they dont care about their customers calls are still getting disconnected and network slow even after two weeks after amphan shame you,2
3,call customer care voda their representative disconnect call with their choice not answering the queries complaints they had done this thrice with this service quality,3
4,kuch bhi,4
4,bhi accha hota,4
4,alisha voda cust for years last months exp with voda has been horrifying was charged extra for march same thing happened april bill top that been shabbily treated harassed blocking services,4
4,aevu kai,4
3,even after multiple reminders customer service and payments missed call alert not activated pls check regards ankit jain,3
4,with people seeing details expecting call soon from your end,4
4,this really disgusting when the customer support team asks for same details everytime and the query never moves forward for week please suggest you will able resolve this,4
4,sach tang kar rakha internet chhodo phone tak nhi lagte,4
3,voda giving these days low level services they charged wrongly had done voice call they deduct money for video call fucking company fucking service given thts why customers shifted jio,3
4,still facing the same issue can you please fix the issue,4
6,please look your network speed call drops what networkare you providing #ravindratakkar #failure pic twitter com piys,6
2,plz provide network behalf money wich take away every month that much deserve think wat think huhh,2
4,porting out from how many days takes get number activated jio,4
2,getting network issue kindly check the needful priority,2
4,sir all are brothers and sisters,4
4,rule bhi hai kya vaha,4
4,warna have pay from february,4
4,has not been discussed properly want vodofone deduct and adjust the amount which has been charged extra the bill that would appreciated thank you,4
4,new number kyo,4
5,this what both vodafone idea since they merged deducting money for reason from prepaid customers unnecessarily adding amount postpaid customers bill when asked they give bizarre reasons justify their unethical practices hope they die slow death,5
4,seriously you were make your customer mentaly harrasment trouble due netwrk and already done times call have complain but not get any resolution yet you were making fool alwz your executive gives,4
4,china mein mera wala pack hai new number loga wapis,4
6,recently got call from this marked shot want know this your official not language was also #vulgar kindly take action immediately against such types fraud calls thanq pic twitter com zbwzuaxwgb,6
4,hope issue resolved before the world ends thanks for your servcies glad that didn keep voda primary,4
5,still have not received any positive response this how team vodafone handling customer complaints fraud and cheater company,5
6,this idea why you call yourself network #idea pic twitter com kuoqnmuaa,6
4,have done that may think you don check your messages,4
6,this vodafone store keeping customers wait for over hour for small procedures and security personnel highly arrogant this store near road swastik society cross road ahmedabad thinking change service provider pic twitter com gdgcde,6
6,vodafone idea climbs month enters top valued firms club read more https bit gvfdic #ideavodafone pic twitter com dqn tli,6
4,sir mam are not able connect with #vilpower since month are trying reach them pay for #dlt registraion but still now our registration pending,4
4,redx plan fraud plan please don opt for,4
4,recharge karva wale itne lete hai incoming mahine,4
6,nowwww hours now whats any updates better shut your business accntid complaint refund money and get lost #youbroadband #vodafone https twitter com cool aby status,6
6,https twitter com bhelman status,6
5,nowwww hours now whats any updates better shut your business accntid complaint refund money and get lost #youbroadband #vodafone,5
4,please reply matter most urgent need quicker solution,4
4,mumbai has best mira bhayander pin has tower providing coverage why you charge people for seems misguide customers give details you have any single tower for area,4
6,indian telecom sector have been rejuventaed #relianceindustries everyone benefiting double digits after long time https twitter com yatinmota status,6
3,your user from last years however recently have connectivity issues there are multiple call drops even your intenet use cant make single payment using your network your customer care service also not willing,3
4,vodaphone aur muslim ummah mein secularism tarah kaam karta hai,4
4,thanks for the reminder just dmed your previous mail,4
4,already explained everything many customer care representative please don waste time have sent everything email please reply,4
4,already inboxed number,4
4,sabhi telecom company mera request balance recharge validity khatam hine alert call lagane time sunaya jata use plz hata kyunki emergency call lagne bahoot time lag jata sah nahi,4
7,good works pretty fine with very very minimal issues customer care attends your problem also very swiftly,7
4,sorry about leaving you getting back you days from,4
4,again you cheating your clients,4
5,vodafone this the complainant number plz find out number and call,5
4,have ported number still why the hell are you sending messages why are you harassing,4
7,hello took new connection with you apart from cuz had some problem with them comes out you #jio giving not even speed let alone called trusted you guys,7
2,months back ported from because network flaw vodafone network after porting lockdown happened and airtel had almost reach coverage room had network for last months days more and porting now,2
4,was already have done the mnp soon change the provider,4
4,after refused topup from the same phone rufused please look into this,4
6,they tell and reply from there end from last hours this how they treat corporate clients and shows absurd behaviour and pic twitter com iql hobphy,6
2,why network showing zero details #reliancejio #gogreen #amazon #google #facebook #twitter will pleased with same with will people care for bcoz,2
4,dear just received call from requesting complete verification the process they had access phone screen via screen sharing later asked open phonepe topup number,4
2,lage che taro joine network hang thai gayu,2
5,#cheaters vodafone cheater company,5
6,pic twitter com quhhaqh,6
4,what the hell this response from care twitter from complaint number you managing customers like this hey what going this internet not working from last days check complaint history auto closed,4
2,kya network isko bolte kya,2
5,vodafone number not working currently and not getting through your helpline could you tell can connect with you any other way,5
6,much inconsistency the data speed pic twitter com gmjdo kpoo,6
7,you people just playing copy paste game here did number let see when you will resolve problem,7
4,don have prepaid plan post paid one,4
4,want the year plan think for that ill have switch prepaid right can someone help,4
4,expected american big tech now owns indian telecom look like the indian consumer officially for sale and the indian government has allowed all this happen,4
3,sim card not activating even after two visits vodafone store what next this the standard your service now,3
5,want make the case above vodafone telephone company going apply consumer court there support from vodafone side please contact with vodafone team give time till evening vodafone will not contact,5
2,will port different network,2
5,currently not the country and have not used phone even once infact chip wallet inspite that have got high bill ridiculous vodafone trying make some extra money,5
3,your internet service pathetic from last few weeks,3
4,internet connectivity poor kanpur pincode please resolve the issue and respond quickly,4
6,thanks received money back investigate every #vodafone user did compensate for time lost people who recharged use services are old customers this isn time you have looted with minus balance #scam return all our #money pic twitter com ygcmgok,6
4,think you didn get the point already ported airtel due the slow response from voda not happy with airtel can talk after month and hopefully you would quicker then,4
4,airtel clarified not talks with anyone but still assuming all happens think next war would quality and not penetration cheap data wfh will force people look for quality options over economical ones,4
5,same happened with vfi trying act like they have monopoly they people are busy doing there vodafone and idea merger customer satisfaction they have time reply that robust tweet but they don have time and sense call customer shame,5
4,thank you hope the issue get resolved soon,4
4,appa ennaiyah moraikkuraaru enthikka ponaaru naa enna aethu yaar ava enna nadakkuthu onnume puriyaama irunten then ithai ungal callertune aaga vaippatharkku irandai aluthavum yen kaalailiye ipdi beethi kilappureenga #jagamethandhiram,4
6,one more time aur kitna juth bologe yaar #vadodara #quitvodafone pic twitter com fusurufo,6
3,fade with your poor service from last days your volte pin code now only choice port,3
4,thanks for response but sorted now,4
4,genuine customer yours guys then too you are restricting services the bill due date june hats off kind services guys #disappointed #koi hai sunne wala,4
6,really frustrating service why can connect customer care executives https twitter com inshaagain status,6
5,investment #reliancejio today buzz also #google buy stake vodafone idea and #amazon buy stake airtel what our telecom sector looking for can someone explain this,5
5,dear team using vodafone received message regarding incoming and outgoing services will stopped forgot recharge time now sim stopped working recharged yesterday but still not enabled please,5
0,when the entire world lockdown suddenly last month was charged for international roaming when called said they can commit and will come back they can something about pic twitter com jtbvw,0
4,haven been getting any incoming calls last days unable connect either through virtual assistant made complaint june which got closed too but issue haven resolved yet rly got exasperated due this,4
6,this what replies customer per kya bharosa rakhe #quitvodafone pic twitter com iipzx vrcp,6
3,good morning please remove #service validity beause most the people cannot afford this system support all,3
6,pic twitter com www,6
2,have been watching this everyday from onwards internet connection goes super slow and stays for some hours this the prime time when clients start pouring work joke delebarate push towards adopting new network,2
2,dear vodafone you can than solve your network issue first without network one can use this service have facing network issue but did not received any response from tham even after informing,2
4,how long you gonna take,4
6,asking about their services negative infinity would been option you deserve that pic twitter com ypmgbuxx,6
2,hello you network service very poor area from last days,2
2,these are not working anymore seems the network too weak,2
2,please improve network quality siddharth nagar,2
5,want make the case above vodafone telephone company going apply consumer court there support from vodafone side please contact with vodafone team give time till evening vodafone will not contact can case vodaf,5
4,why being overbilled once again why being sent inflated bills again please explain,4
5,can any body give the mail complaint head vodafone india because their customer care team and store are not able solve the customer query their end,5
4,check now issue explains,4
3,absolutely horrific such disappointing customer service not expected from company like vodafone they should immediately look into the matter,3
4,law,4
5,just visited vodafone store given they refused give sim authorization later and mother can come store kindly stop harassing some one providing wrong information aim dead now can get new sim nice logic,5
4,just you check,4
2,send them msg about network speed but they not replying since days currently having worst service experience using voda sim will replace soon when plan ends request others never buy voda sim,2
2,dispointed with your network updated the card but now your internet does not work forget internet even calls are not getting connected been years have been using your network things continue same will have switc,2
4,this not right option does not have option for customer care,4
4,there frequent interruption internet hadapsar pune area plz resolve priority,4
4,don have issue post number just received call and even that person also not aware with your products and policies arrange call from senior person who aware with your products,4
4,wud like change from postpaid prepaid connection app ivr not having any option suggest porting other providers only solution,4
4,many times compliment close the number don pay bill don need sim this thank you,4
4,customer complaint batao koi gaur karte hain aapko tweet kis liye karen,4
4,how come you call and insist upgrading plans but when when try call customer care can will keep asking here until get reply,4
7,rha hai double data offer isse pata chalta loss hoto kuch krna parta jao pehle network problem thik kro fir double dene zarurt nhi hogi #vodafoneidea #vodafone,7
6,vodafone costumer care wale bewkoof bnake recharge krwat hai suniy unki bate pic twitter com ysn rmgb,6
6,dear suggest mnp process from https twitter com gopalkshatriya status,6
3,lost vodafone sim card immediately visited the nearest customer care for reissue the sim card all necessary documents were submitted told the customer care officer more than week now and service not restored newly reissued sim please provide help,3
3,sorry say you people deduct money activating any service you are bankrupt want fraud leave service industry and other work poor poorest dear voda fone big cheaters india indian public recession,3
3,worst services ever fraudulently changed plan from rental and now added value added service fed planning port will not recommend nor use vodafone future this second tweet,3
4,dear voda team should prepare for consumers complaints for this faulty services and unnecessary extra charges for voda numbers today rude executive called and denied any help and cut the phone not less than pickpocket,4
6,network jogiya udaipur block district siddharth nagar upe site sddr per retailer please see the concern and take nessuary action pic twitter com,6
2,the only thing #cyclonenisarg affected mumbai would network fair they wouldn have received the warning text,2
4,trying reach customer care but while connecting rings just time and then everything silent care serve the issue here,4
4,sent yesterday but resolution yet facing internet issue and call drop issue since many days,4
2,need bro have ported out airtel and you want know reason after you have replied after hours great bye vodafone happy port out here come best network and vas,2
2,what the update current situation there daily power cut and the network goes,2
4,your own interest start voice over wifi competition with other providers all them have vowifi less expenditure towers their maintenance only small changes software sim cards covering locations,4
6,dear vodafone this old trick collect money from customers account without any request think nowdays people not interested such sona jeeto offers subscription day stop this nonsense offers pic twitter com ajhj yqhvg,6
3,your sim porting service active delhi want port number from please confirm,3
2,mobile network inconsistent last days request you check and resolve the issue the earliest,2
2,now network there yesterday afternoon think was due cyclone thanks for quick response,2
4,still one respond this are really frustrated with your pathetic support,4
4,hey the business give you with numbers you conveniently disconnected them number for yrs all because you refused settle billing mistake you made fuck you,4
3,vodafone doing froud with customers worst service provider refund rup immideatly port lunga lootere gye,3
1,has been deducted automatically within validity period stop looting refund the deducted money still have validity one day left how can deducted within validity period,1
2,from last one month the network speed very bad mumbai pls look and resolve otherwise subscriber vodafone need search for alternate connection,2
6,this crazy https twitter com rameshchs status,6
4,got call from few days back and told them about their sad excuse for speed and call drops they said because you dont have #redx got redx and now have connect #myvodafone app using #jiofi dongle what joke,4
2,these crucial days work from home makes family incommunicado vodafone not havin network calling internet from jun our entire society also upc cannot generated for porting due,2
2,can you please advise why the network bad not able place single call since two days,2
4,unable send sms from number have sufficient talktime please help asap,4
2,facing network issue from last days also having frequent call drops and cross connection please check,2
4,modern thief digitally robbing money from account worst behaviour even this lock down times first they assured that refund money then didn refund and didn pick call two days today pick and say you shd call within worst #vodafonedown,4
6,continue suffer network issues pic twitter com bavxhljyxg,6
2,shame voda#y providing network poor #no network last days,2
2,network issue davkohl kondey manjare sagameshwar range,2
5,mera number hai circle bihar mere rup kat liye gye half hour pahle store khud activate krke aur apka badtamiz executive bolta hai non refundable hai mere paise wapas kro aur chori bnd kro vodafone,5
1,can you please check why international roaming charges are being deducted from prepaid connect without any consent from customer,1
3,can any company charge for downloading any content not using their internet service and are doing the same thing deducting balance for any random services,3
4,hours now sales exe dumb puppet engineer respded call like comp boss custcare worst mobile app useless engineer the boss responded wont visit bef afternoon means evening always sucks,4
4,aap complain kijiye unko details send kijiye,4
4,sent screen shot says red not delivered,4
5,just want know regarding zee subscription which provide with your vodafone recharge call,5
5,number relised anther http person now vodafone responsible any financial frode done,5
4,can expect call simple question know query tough corona virus vaccine and will take you years find the solution but customer request you can atleast call right,4
4,still didnt recieved any call from you and sim not working please help generated wrong bill and they not giving explanation bill and focing pay bills,4
4,hello internet speed much poor from last days trying call customer care but they also not answering call think poor connection there too please try help out soon possible,4
6,hey are you not responsible for answers customers #vodafone #vodafoneidea #vodafonedown pic twitter com zvaopiiio,6
5,vipin vodafone harassing since months have not received even single call only got call from anjali social media from them just chasing them over tweeter mail and calls one responding this way you are trying the digitalisation,5
4,thanks but thanks enough you guys its time get indian,4
4,just dmed you thanks,4
6,see the extremely poor net speed difficult any work with this speed please help pic twitter com mlwmzs zrg,6
3,disappointed your service totally and completely would recommend all friends and family get vodafone because your great service now sucks bad don even want keep,3
4,team any updates didn received any inputs from your operators regarding the same,4
2,where supposed respond wont give number twitter have made several complaints your customer care not ready take complaint they rudely say for network issue cannot take complaint,2
4,thanks had send the info,4
4,want change plan can you help,4
6,your internet does not work when call your network goes down #vodafonedown pic twitter com hnsotbdhyx,6
4,how stop corona virus callertune,4
4,one reason enough will post everything tell best,4
3,now that big money pouring into amazon google and are going see the second wave high speed and cheaper data and more importantly better quality service from the telcos,3
4,and you talk here about talking mom when sim activation hasn taken place days these difficult times and that also working doctor lady,4
5,googlepay payment got stuck because you wish you shutdown completely soon airtel works fine warje the moment anyone from pune reading this switch airtel jio now both give excellent speed and coverage vodafone sucks big time #vodafonedown,5
4,please inform about the status,4
4,sir why oppo doesn work with volte they are saying that device not support mhz band lte system you patch the system will relief for least mean seriously device fault,4
5,mom yrs old doctor customer with idea vodafone since years has been waiting for her sim activation since days repeated emails standing hot sun ahmedabad hrs thrice activation taking its own sweet time can you guys act #vodafoneidea,5
4,have shared the same details many times,4
5,mom yrs old doctor customer with idea vodafone since years has been waiting for her sim activation since days repeated emails standing hot sun ahmedabad hrs thrice activation taking its own sweet time can you,5
3,why number service provider have you shut down your services,3
4,once these the thieves refund money will also port number,4
2,still waiting for network issue solved for more than months and with about months much before covid issue,2
2,there network alibag please check there coverage all,2
7,still not have update here was promised resolution june and this after promised dates may may and may the problem really tough for you guys solve just simple refund instruction that too,7
2,sad say but after complaining many time results and issues never solved recommanded all family and friends leave this network and move airtel jio last thanks for giving much trouble and worst experience,2
1,number have not messaged earlier that reason call you liars and thieves you add international roaming pack your own and while opting for port you have fraudulently got signed contract for month #vodafonefraud,1
4,saalo jhooth dukaan paise wapas karo mere,4
6,for what outstanding there hardly any network connectivity have explained many times earlier https twitter com vodafonein status,6
4,has lot learn form airtel before distroy all the trust its invester why should invest such fraud company,4
4,can you confirm stores are now open and servicing customers need visit one hyderabad,4
3,balance deducted from main account may despite unlimited validity existed feedback and mails sent but not responded credited back even service request raised,3
4,and also never forget during #lockdown have eaten less but have recharged our #mobiles where our #indiantycons you all have shown you are pure #buisnessman,4
4,switch did same now enjoying,4
3,hello your bill dated has been generated current due amount rewaise bill generate may bill after clearly cheeting vodafone idea limited comapany way bill over biling and after service hold customer ver,3
5,shocked know how vodafone has robbed one time charge without knowledge top that the charge just change plan being questioned being told that the policy suppose carry document alwa,5
4,body contract and issue still pending extra amount debit you and taken from bank you why plan change without permission for cheaper plan prepaid this loss,4
6,hey now you are looting the customers today balance deducted without any reason fraud cheat refund money which have wrongly deducted otherwise porting network today https twitter com viraj status,6
2,still mobile internet not started its days now sending this tweet using network which working fine,2
4,disappointed mislead change plan offered discount executive isn answering that too financially crucial time lockdown,4
4,any optiion for doing from convenience home,4
2,hello #airtelindia have port your #airtel network from will you take any steps for our convenience this lockdown #covid #vodafonedown #govodafone,2
4,still the contact number not working even after making the complaint you not expected,4
7,having problem with vodafone sim card can make call receive any call please help out,7
5,only vodafone,5
6,porting out request still pending from vodafone please reply pic twitter com iwcb cnshh,6
3,mobile showing service since yesterday night tried restarted mobile still service seems cyclone has hit vodafone towers too time move,3
6,recharged number with pack which included benefits like #zee subscription worth haven received the benefits yet please respond pic twitter com qitgsn,6
7,have dmed complete concern please look into issue and solve the problem immediately,7
2,network issues better say network from last two days,2
5,vodafone bill,5
4,please don message did they did blocked number couldn call customer care,4
2,vodafone now keep the improvement just increase the plan recharge you never people are here the form good the form note then what information you know the people the protective memory network fle,2
5,vodafone idea number hona must hain kya,5
2,yah network chal raha hai kal rat paresan kar rakha hai sala ese mast jio call karane liye network deta aur vodafone sala phone pura network chala jata hai lagata hai hame port karana hoga mera roj,2
2,have been experiencing problem with your network from last night shows zero network outgoing calls not possible internet not working all please look into this priority,2
6,#referandearn hey enjoying exclusive offers deals and managing and friend family vodafone account jiffy through myvodafone app and you install the app using the below link both get exciting gifts https myvodaapp ideacellular com tracker aid cid amn pic twitter com ypuutx,6
2,what happened tonur network dnt even calling network location bhugaon pin,2
6,pic twitter com mrexf allahabad airport,6
5,thank you vodafone received balance back account thanks for quick help,5
6,sends this automated message every complaint without ever real follow sort matters not surprised #vodafone india isn popular unlike that worked brilliantly https twitter com vodafonein status,6
6,shameful for that living country where raising voice for help twitter from last many months and nobody come support against this company only looting our money support https twitter com rishabhsethi status,6
4,same dehradun airtel worst uttarakhand many places even bsnl broadband working poorly,4
6,thanks for helping thanks for avoiding https twitter com himansh status,6
6,https twitter com abskdwd status,6
4,have dmed you all the relevant details please check,4
5,have requested for vodafone postpaid connection the last week february document collection sim delivery already completed ekyc also completed for the same but the sim card not yet activated,5
2,you don stop spamming right this instant with your stupid calls will fucking sue not even the morning you are already calling your dnd service sham like your whole network,2
3,what the meaning shortly your dictionary has been close days and awaiting response cannot image how low your customer service has gone down #worstcustomerservice,3
4,you peoples claiming maximum reaches data tvs chauraha kankroli rajsamand kankroli showing data look fastest,4
4,just attach the screenshot your deduction message and keep tweeting,4
7,dear vodafone writing from last days and facing internet issue will you resolve problem should port number other service provider,7
6,getting more intense day after day its way #reliancejio #jioplatforms #mubadala #abudhabi pic twitter com bcjrfive,6
2,you always had technical issue with your systems and network why don you say something new you allow profiles your app but not able view even them the app crashes,2
4,refer karna bhai jyada kar dene bad aap lucky draw liye eligible jaoge,4
2,what happened network bhugaon pune been out network since last night location bhugaon pune pin,2
4,team please respond mail sent from ganeshnaphade com urgent,4
6,the era getting everytime your service pic twitter com tucmyk,6
6,again pic twitter com blzxkvskp,6
6,detail has already been provided may but since then there solution regarding the issue collecting the messages and keeping your inbox without solving please check old just chk both images #rubbishcompany #poorservice pic twitter com olg,6
4,rules kya hai,4
6,still got nothing need refund back its been about week already cant wait anymore pic twitter com rfi,6
4,jio airtel sebhi kharab hain mahinese pure village bahut kharab speed rhi hain netki,4
3,worst service vellore and response for message planning leave vodafone will port soon,3
4,will get any solution from even govt agencies are not replying,4
4,you people atleast care respond customers should raise the complaint consumer forum,4
5,had asked solve the increased number spam calls from vodafone that didn happen and now getting lot flash messages why,5
4,sms tak fail rahe,4
2,the only message keep getting welcome vodafone supernet but forget see network there hardly kuch kijiye not single day where network stable and you guys want bills paid time pic,2
7,require solution regarding mobile this shown wrong number when anyone call this results loss business please resolve issue pack ends june but suffering from this problem,7
3,vodafone you are pathetic service provider signal signal signal signal signal signal signal,3
2,have major network issue still going have messaged you you people didn respond please look into stuck very bad,2
4,possible file case online against consumer court,4
4,absolutely they have sense responsibility towards customers even this tough situation,4
4,still resolution one has contacted had shared contact details asked,4
6,call solution thanks for bad experience with big brand https twitter com vodafonein status,6
2,the most pathetic network have ever used short words express the service should close down operations for good and spare people the frustration,2
7,have been facing huge problem with postpaid vodafone asking pay bill without uses there network connectivity area written many emails,7
4,tina already you number you should check chats first before posting delaying the process very disappointing experience with,4
2,what you can afford these days for your customers you had been favourite network until ported out now jio glad moved out your network,2
4,toh tower baith bhi milna mushkil,4
2,#vodafoneidea #vodafonedown currently area facing network issues band please take look darshan purwa kanpur uttar pradesh ghadi detergent,2
5,when you will update need money back where are your top heads who cant resolve this small issue airtel best har friend jaruri hota hai pls tell the benefit and offers vodafone cnt handle customers,5
2,fatorda margao goa moti dongar area old hospital wich isolation centre for covid suspected patients area poor network there request you kindly look into,2
2,any help appreciated please help network activated refer the messages,2
6,any updates pic twitter com zobg cyb,6
1,and just add bit more these guys are offering data international roaming every day which yet another gimmick every bit data used would charge additionally from main balance,1
4,yes let see what google,4
6,problem solved pic twitter com vwv,6
1,along with the other amount loose terms such low call charges incurred international roaming really stuck with their service with number being used for most operational purpose can simply dump the number please look into this,1
7,previous may you can understand problem and totally wasted money and you will not extended sim validity then why you time wasted and time period,7
4,with call seconds and seconds and yeah outgoing message that what extend are the charges justified was assured monthly charge before moving international roamng can pull call recording with the associate did and now they charge,4
4,reply soon,4
4,really request you guys look into this else the company will exploiting and sneaking out all the money despite heavy call drops which isn justified all out some fact did recharge bucks all left with bala,4
4,don send formatted answers and don keep asking questions check the number issues your own system and work accordingly just don write messages some productive work also,4
4,have already the details can you plz help complete port out request let know what needed from side,4
4,already did and the response clearly stated how unethically was charged for call seconds was charged some odd wasn calling mars jupiter for that charge levied,4
5,vodafone vodafone customer have some technical issues network trying contact customer care but there response from side kindly take look,5
4,the issue resolved but how can you charge have number,4
4,complaint gets forwarded technical team technical teams doesn help facing sms barred issue since may and still resolution would like raise this issue with not resolving complaints they are making run here there,4
3,customer care doesn provide resolution customer complaint closes complaint tickets without providing resolution problems customer facing they close tickets their own when ask for status update they say,3
6,#vodafonefy pic twitter com tctnc iyel,6
4,can you please advise over like seriously been some time over,4
7,for couple days nisarga was the problem,7
4,your point correct google want override jio launch rcs they,4
4,will not resolve days will port all number,4
4,have done the needful thanks,4
6,#vodafonenet #vodafonedown #vodafoneidea #vodafoneuk #vodafone #vodafonein https twitter com ssfmkp status,6
4,need data high speed volte phone today have alredy this pack but thirdclass speed,4
2,there improvement yet #vodafone network our area please look soon into the matter otherwise will helpless port our mobile numbers #airtel #jio #network thanks,2
7,its high time that you both must merge will creat powerful entity sail through the current problem,7
4,your customers care and stores only take complaints forward technical team don you think that you are also supposed provide resolution customer complaints closing tickets your own without resolution again generate,4
4,why you keep asking for alternate number when customers don have other sim does mean always have keep standby sim just for and waste our money keep active its nonsense and illogical,4
2,vodafone team when will get speed and why network converted roaming mode and how much times you all took for resolution,2
4,its been hrs,4
4,need clarify the issue refund and portability have been sending response,4
4,bsnlolies,4
5,still waiting you don want give money back don please state now look like whatever the government asking money from vodafone recovering from and wrong way #fraudvodafone,5
6,problem solve team ping better service provide port #boycottairtel pic twitter com rwni tjg,6
2,not getting volte network phone with idea network gujarat,2
5,vodafone ceo email send,5
5,vodafone sim outgoing incoming calls off west bengal vodafone team support,5
4,concern have been resolved same day thank you,4
3,your hours completed you will take years pathetic service,3
3,vodafone worst network with poorest service unnecessary deduction explanation solutions really gone dogs depicted their ads god save them,3
4,have been getting the same message email and twitter messages,4
4,want port and have done all porting request but why not getting port and you dont even have ivr port number where have done all formality switch,4
7,covid caller tune problem idont want that,7
4,refund till date,4
4,please closed number many times request,4
4,tag this will work,4
7,shiv mandir internet problem calling problem and network connectivity issues date,7
4,wtf thought vodafonein had rectified the error and credited back the deducted amt abhi kuch bhi alag recharge mat karo you guys really need see this,4
6,pic twitter com ttabtsl,6
